survived,pclass,sex,age,sibsp,parch,fare,embarked,title,ticketHeader,ticketNumber,cabinLetter,cabinNumber,child,parent,othersAlive,othersDrown
0,3,male,22,1,0,7.25,S,Mr,A,21171,NA,,0,0,0,1
1,1,female,38,1,0,71.2833,C,Mrs,P,17599,C,85,0,0,0,0
1,3,female,26,0,0,7.925,S,Miss,SOTON,3101282,NA,,0,0,0,0
1,1,female,35,1,0,53.1,S,Mrs,NA,113803,C,123,0,0,0,1
0,3,male,35,0,0,8.05,S,Mr,NA,373450,NA,,0,0,0,0
0,3,male,,0,0,8.4583,Q,Mr,NA,330877,NA,,0,0,0,0
0,1,male,54,0,0,51.8625,S,Mr,NA,17463,E,46,0,0,0,0
0,3,male,2,3,1,21.075,S,Master,NA,349909,NA,,1,0,0,3
1,3,female,27,0,2,11.1333,S,Mrs,NA,347742,NA,,0,1,2,0
1,2,female,14,1,0,30.0708,C,Mrs,NA,237736,NA,,0,0,0,1
1,3,female,4,1,1,16.7,S,Miss,P,9549,G,6,1,0,1,0
1,1,female,58,0,0,26.55,S,Miss,NA,113783,C,103,0,0,0,0
0,3,male,20,0,0,8.05,S,Mr,A,2151,NA,,0,0,0,0
0,3,male,39,1,5,31.275,S,Mr,NA,347082,NA,,0,1,0,6
0,3,female,14,0,0,7.8542,S,Miss,NA,350406,NA,,0,0,0,0
1,2,female,55,0,0,16,S,Mrs,NA,248706,NA,,0,0,0,0
0,3,male,2,4,1,29.125,Q,Master,NA,382652,NA,,1,0,0,4
1,2,male,,0,0,13,S,Mr,NA,244373,NA,,0,0,0,0
0,3,female,31,1,0,18,S,Mrs,NA,345763,NA,,0,0,0,2
1,3,female,,0,0,7.225,C,Mrs,NA,2649,NA,,0,0,0,0
0,2,male,35,0,0,26,S,Mr,NA,239865,NA,,0,0,0,0
1,2,male,34,0,0,13,S,Mr,NA,248698,D,56,0,0,0,0
1,3,female,15,0,0,8.0292,Q,Miss,NA,330923,NA,,0,0,0,0
1,1,male,28,0,0,35.5,S,Mr,NA,113788,A,6,0,0,0,0
0,3,female,8,3,1,21.075,S,Miss,NA,349909,NA,,1,0,0,3
1,3,female,38,1,5,31.3875,S,Mrs,NA,347077,NA,,0,1,2,1
0,3,male,,0,0,7.225,C,Mr,NA,2631,NA,,0,0,0,0
0,1,male,19,3,2,263,S,Mr,NA,19950,C,23,1,0,2,1
1,3,female,,0,0,7.8792,Q,Miss,NA,330959,NA,,0,0,0,0
0,3,male,,0,0,7.8958,S,Mr,NA,349216,NA,,0,0,0,0
0,1,male,40,0,0,27.7208,C,Royal,P,17601,NA,,0,0,0,0
1,1,female,,1,0,146.5208,C,Mrs,P,17569,B,78,0,0,0,0
1,3,female,,0,0,7.75,Q,Miss,NA,335677,NA,,0,0,0,0
0,2,male,66,0,0,10.5,S,Mr,C,24579,NA,,0,0,0,0
0,1,male,28,1,0,82.1708,C,Mr,P,17604,NA,,0,0,1,0
0,1,male,42,1,0,52,S,Mr,NA,113789,NA,,0,0,1,0
1,3,male,,0,0,7.2292,C,Mr,NA,2677,NA,,0,0,0,0
0,3,male,21,0,0,8.05,S,Mr,A,2152,NA,,0,0,0,0
0,3,female,18,2,0,18,S,Miss,NA,345764,NA,,0,0,0,2
1,3,female,14,1,0,11.2417,C,Miss,NA,2651,NA,,0,0,1,0
0,3,female,40,1,0,9.475,S,Mrs,NA,7546,NA,,0,0,0,0
0,2,female,27,1,0,21,S,Mrs,NA,11668,NA,,0,0,0,1
0,3,male,,0,0,7.8958,C,Mr,NA,349253,NA,,0,0,0,0
1,2,female,3,1,2,41.5792,C,Miss,SCPARIS,2123,NA,,1,0,1,1
1,3,female,19,0,0,7.8792,Q,Miss,NA,330958,NA,,0,0,0,0
0,3,male,,0,0,8.05,S,Mr,S,23567,NA,,0,0,0,0
0,3,male,,1,0,15.5,Q,Mr,NA,370371,NA,,0,0,0,0
1,3,female,,0,0,7.75,Q,Miss,NA,14311,NA,,0,0,0,0
0,3,male,,2,0,21.6792,C,Mr,NA,2662,NA,,0,0,0,0
0,3,female,18,1,0,17.8,S,Mrs,NA,349237,NA,,0,0,0,1
0,3,male,7,4,1,39.6875,S,Master,NA,3101295,NA,,1,0,0,5
0,3,male,21,0,0,7.8,S,Mr,A,39886,NA,,0,0,0,0
1,1,female,49,1,0,76.7292,C,Mrs,P,17572,D,33,0,0,1,0
1,2,female,29,1,0,26,S,Mrs,NA,2926,NA,,0,0,0,0
0,1,male,65,0,1,61.9792,C,Mr,NA,113509,B,30,0,1,0,0
1,1,male,,0,0,35.5,S,Mr,NA,19947,C,52,0,0,0,0
1,2,female,21,0,0,10.5,S,Miss,C,31026,NA,,0,0,0,0
0,3,male,28.5,0,0,7.2292,C,Mr,NA,2697,NA,,0,0,0,0
1,2,female,5,1,2,27.75,S,Miss,C,34651,NA,,1,0,1,1
0,3,male,11,5,2,46.9,S,Master,C,2144,NA,,1,0,0,5
0,3,male,22,0,0,7.2292,C,Mr,NA,2669,NA,,0,0,0,0
1,1,female,38,0,0,80,NA,Miss,NA,113572,B,28,0,0,0,0
0,1,male,45,1,0,83.475,S,Mr,NA,36973,C,83,0,0,1,0
0,3,male,4,3,2,27.9,S,Master,NA,347088,NA,,1,0,0,5
0,1,male,,0,0,27.7208,C,Mr,P,17605,NA,,0,0,0,0
1,3,male,,1,1,15.2458,C,Master,NA,2661,NA,,1,0,1,0
1,2,female,29,0,0,10.5,S,Mrs,C,29395,F,33,0,0,0,0
0,3,male,19,0,0,8.1583,S,Mr,S,3464,NA,,0,0,0,0
