pclass,sex,age,sibsp,parch,fare,embarked,title,ticketHeader,ticketNumber,cabinLetter,cabinNumber,child,parent,othersAlive,othersDrown
3,male,34.5,0,0,7.8292,Q,Mr,NA,330911,NA,,0,0,0,0
3,female,47,1,0,7,S,Mrs,NA,363272,NA,,0,0,4,1
2,male,62,0,0,9.6875,Q,Mr,NA,240276,NA,,0,0,0,0
3,male,27,0,0,8.6625,S,Mr,NA,315154,NA,,0,0,0,0
3,female,22,1,1,12.2875,S,Mrs,NA,3101298,NA,,0,1,2,0
3,male,14,0,0,9.225,S,Mr,NA,7538,NA,,0,0,0,0
3,female,30,0,0,7.6292,Q,Miss,NA,330972,NA,,0,0,0,0
2,male,26,1,1,29,S,Mr,NA,248738,NA,,0,1,2,0
3,female,18,0,0,7.2292,C,Mrs,NA,2657,NA,,0,0,0,0
3,male,21,2,0,24.15,S,Mr,A,48871,NA,,0,0,0,1
3,male,,0,0,7.8958,S,Mr,NA,349220,NA,,0,0,0,0
1,male,46,0,0,26,S,Mr,NA,694,NA,,0,0,0,0
1,female,23,1,0,82.2667,S,Mrs,NA,21228,B,45,0,0,0,0
2,male,63,1,0,26,S,Mr,NA,24065,NA,,0,0,0,0
1,female,47,1,0,61.175,S,Mrs,W,5734,E,31,0,0,0,1
2,female,24,1,0,27.7208,C,Mrs,SCPARIS,2167,NA,,0,0,0,1
2,male,35,0,0,12.35,Q,Mr,NA,233734,NA,,0,0,0,0
3,male,21,0,0,7.225,C,Mr,NA,2692,NA,,0,0,0,0
3,female,27,1,0,7.925,S,Miss,SOTON,3101270,NA,,0,0,0,1
3,female,45,0,0,7.225,C,Mrs,NA,2696,NA,,0,0,0,0
1,male,55,1,0,59.4,C,Mr,P,17603,NA,,0,0,1,0
3,male,9,0,1,3.1708,S,Master,C,17368,NA,,1,0,0,1
1,female,,0,0,31.6833,S,Mrs,P,17598,NA,,0,0,0,0
1,male,21,0,1,61.3792,C,Mr,P,17597,NA,,1,0,0,1
1,female,48,1,3,262.375,C,Mrs,P,17608,B,63,0,1,2,0
3,male,50,1,0,14.5,S,Mr,A,3337,NA,,0,0,0,1
1,female,22,0,1,61.9792,C,Miss,NA,113509,B,36,1,0,0,1
3,male,22.5,0,0,7.225,C,Mr,NA,2698,NA,,0,0,0,0
1,male,41,0,0,30.5,S,Mr,NA,113054,A,21,0,0,0,0
3,male,,2,0,21.6792,C,Mr,NA,2662,NA,,0,0,0,1
2,male,50,1,0,26,S,Mr,S,3085,NA,,0,0,1,0
2,male,24,2,0,31.5,S,Mr,C,31029,NA,,0,0,1,1
3,female,33,1,2,20.575,S,Mrs,C,2315,NA,,0,1,1,1
3,female,,1,2,23.45,S,Mrs,W,6607,NA,,0,1,0,2
1,male,30,1,0,57.75,C,Mr,NA,13236,C,78,0,0,0,0
3,male,18.5,0,0,7.2292,C,Mr,NA,2682,NA,,0,0,0,0
3,female,,0,0,8.05,S,Miss,NA,342712,NA,,0,0,0,0
3,female,21,0,0,8.6625,S,Miss,NA,315087,NA,,0,0,0,0
3,male,25,0,0,9.5,S,Mr,NA,345768,NA,,0,0,0,0
3,male,,0,0,56.4958,S,Mr,NA,1601,NA,,0,0,0,0
3,male,39,0,1,13.4167,C,Mr,NA,349256,NA,,0,1,1,0
1,male,,0,0,26.55,S,Mr,NA,113778,D,34,0,0,0,0
3,male,41,0,0,7.85,S,Mr,SOTON,3101263,NA,,0,0,0,0
2,female,30,0,0,13,S,Mrs,NA,237249,NA,,0,0,0,0
1,female,45,1,0,52.5542,S,Mrs,NA,11753,D,19,0,0,1,0
3,male,25,0,0,7.925,S,Mr,SOTON,3101291,NA,,0,0,0,0
1,male,45,0,0,29.7,C,Mr,P,17594,A,9,0,0,0,0
3,male,,0,0,7.75,Q,Mr,NA,370374,NA,,0,0,0,0
1,female,60,0,0,76.2917,C,Mrs,NA,11813,D,15,0,0,0,0
